,count_id,volume,cl_node_id,location,traffic_id,type,file,OBJECTID,ASSETID,CL_NODE_ID,LAT,LON,FROM_ST,TO_ST,SIG,TRANSITSTOP,RIDERSHIP,SCH_CT,EMPTOT,SUM_POPTTL
0,5,9,3787,ANAHEIM ST AT FARRAGUT AVE,4,manual,FARRAGUT.ANAHEIM.110119-MAN.PDF,32450.0,145466.0,3787.0,33.78208443,-118.22832179999999,ANAHEIM ST,FARRAGUT AVE,1.0,1.0,4.0,0,211.024148,7.026113017999999
1,14,40,3976,ORCHARD AVE AT REDONDO BEACH BLVD,7,manual,REDONDOBEACH.ORCHARD.150616-NDSMAN.PDF,18664.0,124330.0,3976.0,33.89257006,-118.28827959999998,ORCHARD AVE,REDONDO BEACH BLVD,1.0,0.0,,0,3597.554154,1493.921128
2,19,536,3995,GARDENA BLVD at MENLO AVE,8,manual,GARDENA.MENLO.171019-MAN.PDF,38684.0,110268.0,3995.0,33.88165412,-118.2891092,GARDENA BLVD,MENLO AVE,0.0,0.0,,1,604.3183696000001,2354.257197
3,24,214,4007,ESTRELLA AVE at GARDENA BLVD,9,manual,ESTGAR06.PDF,2576.0,99728.0,4007.0,33.88175519,-118.285564,ESTRELLA AVE,GARDENA BLVD,0.0,0.0,,1,2697.094999,2261.07443
4,33,133,4089,114TH ST at IMPERIAL HWY,12,manual,WADSWORTH.114TH ST_IMPERIAL HWY.171025-NDSMAN.PDF,20966.0,127877.0,4089.0,33.93100295,-118.25858659999999,114TH ST,IMPERIAL HWY,0.0,2.0,75.0,1,160.7031016,2320.217609
5,48,285,4286,CENTURY BLVD at HOOVER ST,18,manual,CENHOO080506.PDF,25442.0,134790.0,4286.0,33.94551141,-118.28693999999999,CENTURY BLVD,HOOVER ST,1.0,0.0,,0,149.45747350000002,3632.4925799999996
6,68,144,4394,LA BREA AVE at ROSELAND ST,24,manual,LABREA.ROSELAND.170228-NDSMAN.PDF,4859.0,103326.0,4394.0,34.0272084,-118.3536893,LA BREA AVE,ROSELAND ST,0.0,2.0,76.0,0,620.2996724,2510.7303260000003
7,81,0,4401,JEFFERSON BLVD at LA CIENEGA BLVD,25,manual,LACIENEGA.JEFFERSON.150415-WILMAN.PDF,34794.0,148969.0,4401.0,34.02651035,-118.37208249999999,JEFFERSON BLVD,LA CIENEGA BLVD,1.0,1.0,3330.96262,0,5159.875154,921.8770399
8,82,0,4401,JEFFERSON BLVD at LA CIENEGA BLVD,25,manual,LACIENEGA.JEFFERSON.150416-WILMAN.PDF,34794.0,148969.0,4401.0,34.02651035,-118.37208249999999,JEFFERSON BLVD,LA CIENEGA BLVD,1.0,1.0,3330.96262,0,5159.875154,921.8770399
9,83,0,4401,JEFFERSON BLVD at LA CIENEGA BLVD,25,manual,LACIENEGA.JEFFERSON.110504-MAN.PDF,34794.0,148969.0,4401.0,34.02651035,-118.37208249999999,JEFFERSON BLVD,LA CIENEGA BLVD,1.0,1.0,3330.96262,0,5159.875154,921.8770399
10,84,0,4401,JEFFERSON BLVD at LA CIENEGA BLVD,25,manual,LACIENEGA.JEFFERSON.110503-MAN.PDF,34794.0,148969.0,4401.0,34.02651035,-118.37208249999999,JEFFERSON BLVD,LA CIENEGA BLVD,1.0,1.0,3330.96262,0,5159.875154,921.8770399
11,85,560,4401,JEFFERSON BLVD at LA CIENEGA BLVD,25,manual,LACIENEGA.JEFFERSON.130410-MAN-NDS.PDF,34794.0,148969.0,4401.0,34.02651035,-118.37208249999999,JEFFERSON BLVD,LA CIENEGA BLVD,1.0,1.0,3330.96262,0,5159.875154,921.8770399
12,88,560,4401,JEFFERSON BLVD at LA CIENEGA BLVD,25,manual,LACIENEGA.JEFFERSON.130409-MAN-NDS.PDF,34794.0,148969.0,4401.0,34.02651035,-118.37208249999999,JEFFERSON BLVD,LA CIENEGA BLVD,1.0,1.0,3330.96262,0,5159.875154,921.8770399
13,89,219,4401,JEFFERSON BLVD at LA CIENEGA BLVD,25,manual,JEFLAC07 (2).PDF,34794.0,148969.0,4401.0,34.02651035,-118.37208249999999,JEFFERSON BLVD,LA CIENEGA BLVD,1.0,1.0,3330.96262,0,5159.875154,921.8770399
14,114,95,4544,HILLCREST DR at SANTO TOMAS DR,33,manual,HILSAN080215.PDF,13964.0,117113.0,4544.0,34.011482799999996,-118.3487628,HILLCREST DR,SANTO TOMAS DR,0.0,2.0,82.0,1,364.65374310000004,4138.730363000001
15,115,731,4633,JEFFERSON BLVD at LA BREA AVE,34,manual,4633_JEFFERSON.LA BREA07.PDF,32315.0,145296.0,4633.0,34.0255053,-118.35486399999999,JEFFERSON BLVD,LA BREA AVE,1.0,2.0,775.0,0,651.1544183999999,2598.919915
16,120,963,4651,JEFFERSON BLVD AT WESTERN AVE,35,manual,JEFFERSON.WESTERN.140619-MAN.PDF,7090.0,106709.0,4651.0,34.02555318,-118.3088872,JEFFERSON BLVD,WESTERN AVE,1.0,3.0,1871.0,1,248.8030633,3498.0225689999997
17,130,36,4689,11TH AVE at JEFFERSON BLVD,36,manual,11TH.JEFFERSON.120510-MAN.PDF,2496.0,99624.0,4689.0,34.02560366,-118.329307,11TH AVE,JEFFERSON BLVD,0.0,0.0,,1,340.0817287,2998.1881789999998
18,158,32,4922,JEFFERSON BLVD AT SOMERSET DR,47,manual,4922_JEFSOM091102.PDF,7169.0,106812.0,4922.0,34.02557338,-118.33736509999999,JEFFERSON BLVD,SOMERSET DR,0.0,3.0,37.0,2,452.9589393,2998.436591
19,159,46,4922,JEFFERSON BLVD AT SOMERSET DR,47,manual,JEFFERSON.SOMERSET.PEDCOUNT.151022-MAN.PDF,7169.0,106812.0,4922.0,34.02557338,-118.33736509999999,JEFFERSON BLVD,SOMERSET DR,0.0,3.0,37.0,2,452.9589393,2998.436591
20,166,1999,4926,JEFFERSON BLVD AT VERMONT AVE,49,manual,JEFFERSON.VERMONT.120920-MAN.PDF,2600.0,99760.0,4926.0,34.02549712,-118.2915382,JEFFERSON BLVD,VERMONT AVE,1.0,3.0,756.0,0,3765.9007899999997,4448.0341960000005
21,177,1529,4999,EXPOSITION BOULEVARD N/R at VERMONT AVE,53,manual,EXPVER06.PDF,4834.0,103297.0,4999.0,34.01836986,-118.2915355,EXPOSITION BOULEVARD N/R,VERMONT AVE,1.0,2.0,6562.4860530000005,1,3769.874663,3582.8135460000003
22,178,5886,4999,EXPOSITION BOULEVARD N/R at VERMONT AVE,53,manual,EXPOSITION.VERMONT.120918-MAN.PDF,4834.0,103297.0,4999.0,34.01836986,-118.2915355,EXPOSITION BOULEVARD N/R,VERMONT AVE,1.0,2.0,6562.4860530000005,1,3769.874663,3582.8135460000003
23,180,194,5009,COLISEUM ST AT BRONSON AVE,54,manual,5009_BRONSON.COLISEUM.130430.MAN.PDF,4835.0,103298.0,5009.0,34.01822854,-118.3339425,BRONSON AVE,COLISEUM ST,0.0,0.0,,0,759.1827201,1696.316587
