OBJECTID,ASSETID,CL_NODE_ID,LAT,LON,FROM_ST,TO_ST,SIG,TRANSITSTOP,RIDERSHIP
1,95968,33,33.96171627,-118.4401032,CALABAR AVE,TUSCANY AVE,0,0,
2,95969,40,33.96042385,-118.3944868,85TH PL,VICKSBURG AVE,0,0,
3,95970,73,33.95671727,-118.4257782,88TH PL,STANMOOR DR,0,0,
4,95971,74,33.95722887,-118.4026548,88TH ST,LIBERATOR AVE,0,0,
5,95973,81,33.9572266,-118.4043534,88TH ST,EMERSON AVE,0,0,
6,95974,103,33.95302478,-118.4423173,EARLDOM AVE,MANITOBA ST,0,0,
7,95975,106,33.95297787,-118.4401031,PERSHING DR,WATERVIEW ST,0,0,
8,95976,118,33.96066731,-118.4146499,85TH ST,REGIS WAY,0,0,
9,95977,222,33.95523114,-118.381578,INTERCEPTOR ST,READING AVE,0,0,
10,95978,237,33.95005359,-118.3725271,95TH ST,HINDRY PL,0,0,
11,95979,256,33.94705201,-118.3736746,99TH ST,HINDRY AVE,0,0,
12,95980,173,33.95880759,-118.4326699,SARAN DR,TALBERT ST,0,0,
13,95981,210,33.95616616,-118.3903603,CROYDON AVE,WILL ROGERS ST,0,0,
14,95982,220,33.9590234,-118.3826576,RAMSGATE AVE,READING AVE,0,0,
15,95983,57041,33.9646288,-118.4284802,COASTAL VIEW DR,OCEAN BLUFF DR,0,0,
16,95992,10,33.95693194,-118.4472801,REES ST,RINDGE AVE,0,0,
17,95993,13,33.95593178,-118.4463375,BARBOUR ST,RINDGE AVE,0,0,
18,95994,21,33.95516135,-118.4462575,MANCHESTER AVE,RINDGE AVE,0,0,
19,95996,613,33.98502143,-118.2980332,60TH PL,RAYMOND AVE,0,0,
20,95997,618,33.98550823,-118.315312,60TH ST,HYDE PARK BLVD,0,0,
21,95998,624,33.98415152,-118.3002474,61ST ST,NORMANDIE AVE,0,0,
22,95999,630,33.98365677,-118.3215863,4TH AVE,62ND ST,0,0,
23,96000,659,33.98235994,-118.3071874,GAGE AVE,GAGE AVE,0,0,
24,96002,674,33.98182206,-118.3223662,64TH ST,HYDE PARK BLVD,0,0,
25,96003,717,33.98106865,-118.322578,5TH AVE,SOUTHWEST DR,0,0,
26,96005,746,33.9806105,-118.3235548,6TH AVE,SOUTHWEST DR,0,0,
27,96006,747,33.97818169,-118.3235729,67TH ST,6TH AVE,0,0,
28,96007,767,33.9773477,-118.3265068,68TH ST,8TH AVE,0,0,
29,96008,772,33.97700536,-118.3158577,69TH ST,CIMARRON ST,0,0,
30,96009,779,33.97639114,-118.3187204,70TH ST,ARLINGTON AVE,0,0,
31,96013,823,33.97367251,-118.31555,73RD ST,CIMARRON ST,0,0,
32,96014,845,33.97457387,-118.3024331,FLORENCE AVE,HALLDALE AVE,0,0,
33,96015,867,33.97180991,-118.3286542,10TH AVE,75TH ST,0,0,
34,96017,922,33.96728915,-118.3068183,79TH ST,HARVARD BLVD,0,0,
35,96018,935,33.96728534,-118.2992683,79TH ST,MARIPOSA AVE,0,0,
36,96019,954,33.99235045,-118.3045602,55TH ST,DENKER AVE,0,0,
37,96020,973,33.98910572,-118.2958363,BUDLONG AVE,SLAUSON AVE,1,2,192
38,96023,332,33.97731897,-118.3717821,CENTINELA AVE,LA TIJERA BLVD,1,0,
39,96025,350,33.97201451,-118.3843392,76TH ST,PIPER PL,0,0,
40,96026,364,33.9699675,-118.3898302,BOEING AVE,BOEING PL,0,0,
41,96027,371,33.96906541,-118.383154,78TH ST,ABERNATHY DR,0,0,
42,96028,397,33.98707857,-118.3500374,59TH ST,EDGEMAR AVE,0,0,
43,96030,449,33.96931534,-118.3773645,76TH ST,MIDFIELD AVE,0,0,
44,96031,481,33.99230881,-118.2958456,55TH ST,BUDLONG AVE,0,0,
45,96032,496,33.9909392,-118.3160307,57TH ST,CIMARRON ST,0,0,
46,96033,544,33.98807448,-118.3377768,58TH PL,DEANE AVE,0,0,
47,96034,560,33.98728452,-118.3196124,2ND AVE,59TH ST,0,0,
48,96035,582,33.98631027,-118.328573,10TH AVE,59TH PL,0,0,
49,96036,593,33.98549152,-118.3176716,60TH ST,VAN NESS AVE,0,0,
50,96037,596,33.98547763,-118.3196263,2ND AVE,60TH ST,0,0,
51,96038,1748,33.95271325,-118.3133733,92ND ST,GRAMERCY PL,0,0,
52,96039,1792,33.94699409,-118.3161661,99TH ST,CIMARRON ST,0,0,
53,96040,1817,33.94319758,-118.3057323,103RD ST,LA SALLE AVE,0,0,
54,96042,1406,33.99330607,-118.278302,54TH ST,BROADWAY,1,2,564
55,96043,1424,33.98245779,-118.2564391,63RD ST,CENTRAL AVE,0,0,
56,96044,1457,33.9708035,-118.2782946,76TH ST,BROADWAY,1,2,405
57,96045,1460,33.96879741,-118.2673278,78TH ST,TOWNE AVE,0,0,
58,96046,1821,33.94319267,-118.3112163,103RD ST,ST ANDREWS PL,0,0,
59,96047,1024,33.97913059,-118.3046009,66TH ST,DENKER AVE,0,0,
60,96048,1026,33.97912607,-118.3067801,66TH ST,HARVARD BLVD,0,0,
61,96049,1050,33.97619004,-118.3024261,70TH ST,HALLDALE AVE,0,0,
62,96050,1051,33.97619063,-118.3133551,70TH ST,GRAMERCY PL,0,0,
63,96051,1053,33.97618499,-118.3111647,70TH ST,ST ANDREWS PL,0,0,
64,96052,1060,33.97458267,-118.316837,FLORENCE AVE,HAAS AVE,0,0,
