ASSETID,EMPTOT
95968,147.55493
95969,1903.318727
95970,716.8706876
95971,634.660941
95972,207.0978917
95973,629.727484
95974,425.9220964
95975,497.5824306
95976,310.7977524
95977,2843.502335
95978,376.0091335
95979,691.0185056
95980,233.1686073
95981,1398.732101
95982,1852.924166
95983,220.7545838
95991,161.4824538
95992,231.6612027
95993,221.5871846
95994,204.6933355
95995,322.3932557
95996,289.2400304
95997,1059.409436
95998,133.9937228
95999,128.2429122
96000,534.1232033
96001,728.9451004
96002,77.57228219
96003,92.36824221
96004,387.3221251
96005,188.4176814
96006,179.4601648
96007,491.0421456
96008,169.2613876
96009,121.2821933
96010,886.1763828
96011,721.3616479
96012,171.7313468
96013,186.2269909
96014,113.4566965
96015,164.74014
96016,107.3688284
96017,159.9699545
96018,125.3294253
96019,187.7497383
96020,486.1079798
96021,26.00581371
96022,109.3771209
96023,814.8606835
96024,1876.404427
96025,1476.367975
96026,770.9303565
96027,870.0709183
96028,145.9275665
96030,891.7735703
96031,165.5776528
96032,569.7518828
96033,651.0485039
96034,402.9605805
96035,667.4055014
96036,697.3155566
96037,389.8443162
96038,94.30786961
96039,138.2163987
96040,198.0323268
96041,325.6427292
96042,228.3426155
96043,710.5767772
96044,362.3848233
96045,671.4877495
96046,220.6343828
96047,141.3114568
96048,168.3338769
96049,118.7713163
96050,193.5179488
96051,180.3258349
96052,166.5095222
96053,181.0008965
96054,167.4379805
96055,161.7148492
96056,108.8588366
96057,100.3841972
96058,61.40608988
96059,58.76314157
96061,113.8833596
96062,430.4207323
96063,315.4986065
96064,881.0763067
96065,885.552313
96066,236.4414399
96067,739.9412756
96068,480.0911411
96069,340.2243997
96070,416.7534743
96071,271.9837132
96072,267.696906
96073,384.5299652
96074,368.4737829
96075,191.0716351
96076,451.2157893
96077,364.8351887
96079,94.40040838
96080,77.5685359
96081,44.38429465
96082,18.01381599
96083,10.61497839
96084,681.4616862
96085,2992.797963
96086,129.08448
96087,619.6981111
96089,544.234721
96090,307.4760889
96091,272.2119249
96092,454.1191283
96093,611.6889656
96094,482.2697238
96095,724.1542679
96096,129.1087817
96097,399.4220296
