ASSETID,SUM_POPTTL
95968,826.1591662
95969,1369.705212
95970,2480.192869
95971,606.2744852
95972,5049.634825
95973,613.9641078
95974,2199.363218
95975,3035.71033
95976,1415.073768
95977,2046.669161
95978,952.145804
95979,1038.087282
95980,2839.765906
95981,647.2293274
95982,2097.543747
95983,953.2270864
95991,1755.680798
95992,1449.73523
95993,1634.432058
95994,1535.595814
95995,1090.609244
95996,4119.522984
95997,1594.733889
95998,3880.832339
95999,2637.148376
96000,2537.152797
96001,2142.77119
96002,2862.899974
96003,2886.076697
96004,2275.380204
96005,2873.848617
96006,2909.115234
96007,3498.6395
96008,2292.477521
96009,2241.558426
96010,2260.462679
96011,3873.090893
96012,2172.202994
96013,1802.09567
96014,2484.415662
96015,1995.163947
96016,808.0148535
96017,3347.501783
96018,2478.54943
96019,3124.505866
96020,4278.114014
96021,883.2746352
96022,588.386281
96023,1378.421298
96024,1931.389389
96025,1196.317676
96026,1364.45574
96027,1360.286253
96028,1365.038309
96030,1446.211937
96031,4497.745518
96032,2327.356395
96033,1523.141073
96034,2187.250531
96035,3690.518936
96036,2181.904063
96037,2429.366693
96038,2287.7267
96039,805.7613397
96040,413.0048466
96041,3491.413055
96042,4868.387804
96043,454.4737641
96044,4637.516588
96045,3280.210658
96046,1085.733129
96047,2932.56331
96048,2856.849306
96049,2702.04743
96050,2334.460192
96051,2521.066068
96052,1856.116902
96053,2470.184376
96054,2529.430348
96055,2561.757447
96056,2244.781763
96057,1435.291618
96058,1449.493213
96059,1419.884597
96061,2560.955764
96062,4038.416259
96063,3342.44666
96064,1263.058676
96065,1332.280763
96066,3375.851114
96067,2349.679487
96068,4065.25572
96069,4812.859859
96070,4271.631067
96071,5404.964793
96072,1577.241104
96073,2032.535064
96074,2425.459631
96075,4078.014917
96076,3540.120743
96077,5529.635463
96079,1685.503637
96080,1544.203627
96081,1255.7481
96082,1111.219468
96083,647.6274555
96084,919.5526968
96085,3355.433539
96086,1674.330784
96087,2103.170191
96089,2195.54597
96090,4506.569311
96091,2753.516058
96092,2431.955896
96093,2746.115932
96094,2606.0313
96095,2070.989459
96096,1523.028342
96097,5371.334674
96098,5602.915429
96099,5529.53704
96100,2945.961435
96102,1598.038639
96103,3328.94835
96104,3823.461003
96105,3210.895971
96106,3360.098878
96107,3457.421305
96108,2958.57067
96109,3156.648122
96110,2234.055151
96111,3652.261452
96112,4017.619763
96113,4919.764422
96114,1552.302884
96115,2707.986361
96116,2981.716616
96117,2555.222808
96118,4013.044538
96119,1360.82306
96120,1822.112434
96121,1747.11446
96122,1771.486909
96123,2252.47217
96125,2379.17202
96126,1284.536689
96127,1884.721491
96128,4699.239601
96129,4410.182911
96130,2883.406048
96131,3773.058405
96132,3196.326426
96133,2619.846802
96134,4139.498317
96135,4348.421987
96136,3367.229548
96137,3135.233494
96138,3398.717403
96139,3083.180363
96140,3348.4598
96141,3206.038478
96142,2516.234296
96143,3561.983692
96144,2467.03369
96145,2739.642505
96146,2147.756464
96147,2010.945112
96148,2175.057533
96149,1806.6359
96151,2919.630984
96152,1931.426253
