ASSETID,SCH_CT
95968,0
95969,0
95970,2
95971,1
95973,1
95974,0
95975,0
95976,0
95977,0
95978,1
95979,1
95980,1
95981,1
95982,0
95983,0
95992,0
95993,0
95994,0
95996,2
95997,0
95998,1
95999,1
96000,0
96002,0
96003,0
96005,1
96006,1
96007,2
96008,0
96009,0
96013,2
96014,0
96015,0
96017,0
96018,2
96019,1
96020,1
96023,2
96025,0
96026,1
96027,0
96028,1
96030,0
96031,1
96032,1
96033,0
96034,1
96035,1
96036,1
96037,1
96038,0
96039,1
96040,0
96042,0
96043,0
96044,1
96045,1
96046,1
96047,0
96048,1
96049,0
96050,2
96051,3
96052,1
96053,2
96054,0
96055,2
96057,0
96058,0
96059,0
96061,1
96064,0
96065,0
96066,2
96067,1
96068,1
96070,2
96072,3
96073,4
96074,0
96075,1
96076,1
96077,1
96079,0
96080,0
96081,0
96082,0
96083,0
96085,0
96086,0
96087,3
96089,2
96090,0
96091,1
96092,1
96093,1
96094,1
96095,0
96096,0
96098,0
96099,0
96100,1
96102,1
96104,2
96105,0
96106,0
96107,2
96108,2
96109,1
96110,1
96112,2
96113,1
96114,0
96115,1
96116,1
96117,1
96118,1
96119,0
96120,0
96121,0
96122,0
96123,0
96125,1
96126,0
96127,0
96128,2
96129,1
96130,0
96131,1
96132,0
96133,0
96134,1
96136,0
96137,2
96138,0
96139,0
96140,1
96141,1
96142,1
96143,0
96144,2
96145,2
96146,2
96147,0
96148,1
96149,0
96151,0
96152,0
96154,0
96156,0
96157,0
96212,0
96241,1
96304,0
96305,0
96158,1
96160,1
96161,1
96162,2
96163,0
96164,0
96165,1
96166,1
96169,1
96170,1
96171,0
96172,0
96173,0
96174,0
96175,0
96178,0
96179,1
96183,0
96185,0
96186,0
96187,1
96188,0
96190,0
96191,1
96192,1
96193,1
96195,0
96196,0
96197,0
96198,0
96199,1
96200,0
96201,0
96202,0
96203,1
96204,1
96205,1
96207,1
96208,0
96209,0
96210,0
96211,0
96213,1
96214,2
96216,1
96217,0
96218,1
96223,1
96224,3
96225,1
96226,0
96227,0
96228,0
96230,1
96231,1
96232,1
96233,1
96235,0
96236,0
96238,1
96239,0
96243,1
96245,2
96246,0
96247,1
96248,0
96249,1
96250,1
96251,3
96252,3
96253,0
96254,2
96256,1
96257,0
96258,0
96260,0
96261,0
96262,0
96263,2
96264,2
96265,1
96266,0
96267,2
96268,1
96269,1
96270,1
96272,0
96273,0
96274,2
96275,0
96276,2
96277,2
96278,0
96279,1
96280,0
96281,0
96282,1
96283,0
96284,0
96285,0
96286,1
96287,2
96288,0
96289,0
96290,0
96292,0
96294,1
96295,2
96296,1
96297,0
96298,0
96299,0
96300,0
96301,0
96303,0
96306,1
96307,0
96308,0
96311,0
96312,1
96315,1
96316,0
96317,1
96318,1
96319,0
96320,1
96321,1
96325,0
96326,0
96330,0
96331,0
96332,0
96333,0
96334,1
96335,2
96336,0
96337,1
96338,0
96339,0
96340,2
96341,1
96342,1
96343,1
96344,0
96345,2
96346,1
96347,2
96477,0
96496,0
96507,1
96522,1
96536,0
96538,0
96541,0
96744,1
96745,2
96769,2
96849,1
96922,0
96348,3
96349,0
96350,1
96351,0
96352,1
96353,1
96354,1
96355,2
96356,2
96357,0
96358,2
96359,1
96360,0
96361,0
96362,0
96363,1
96364,0
96366,0
96368,0
96369,0
96370,2
96371,0
96372,1
96373,1
96375,3
96376,0
96377,0
96378,2
96379,0
96380,5
96381,0
96382,0
96383,0
96384,0
96385,0
96386,1
96387,0
96388,0
96389,0
96390,1
96391,0
96393,1
96394,1
96395,0
96397,3
96400,0
96401,0
96402,0
96403,1
96405,1
96406,0
96407,1
96410,1
96411,3
96412,2
96413,3
96414,1
96415,2
96416,3
96417,2
96418,0
96419,0
96421,0
96422,1
96423,2
96425,0
96426,0
96427,1
96428,0
96429,1
96430,0
96431,0
96432,1
96433,0
96434,0
96435,1
96436,1
96437,1
96438,0
96439,1
96440,1
96441,1
96442,0
96443,0
96444,1
96445,0
96446,1
96447,1
96449,0
96450,0
96451,0
96452,0
96453,1
96454,2
96455,2
96456,1
96457,3
96458,3
96460,1
96462,2
96463,0
96464,1
96467,1
96468,2
96469,3
96470,1
96471,3
96472,0
96473,0
96474,0
96475,1
96476,0
96479,0
96480,4
96481,4
96482,0
96483,0
96484,1
96485,0
96486,1
96487,0
96489,0
96490,1
96491,1
96492,1
96493,0
96494,0
96495,2
96497,0
96498,0
96499,0
96500,0
96502,1
96504,1
96505,1
96506,0
96508,1
96509,1
96511,0
96512,0
96513,2
96514,0
96515,1
96518,2
96519,2
96520,2
96521,1
96523,2
96524,0
96525,3
96527,0
96528,0
96531,4
96532,2
96533,0
96534,0
96535,1
96537,0
96539,0
96540,3
96543,2
96544,0
96545,1
96546,0
96547,0
96548,2
96549,0
96550,1
96551,1
96552,1
96553,0
96554,5
96555,3
96556,0
96557,0
96558,0
96559,0
96560,0
96561,0
96562,1
96563,0
96564,0
96565,0
96566,0
96567,1
96568,1
96569,2
96570,1
96571,0
96572,2
96573,1
96575,1
96576,0
96578,1
96579,0
96580,0
96581,1
96582,1
96583,1
96588,2
96589,0
96590,0
96591,0
96592,0
96593,0
96594,0
96595,0
96596,0
96597,0
96598,0
96599,0
96600,1
96601,0
96603,0
96604,0
96605,1
96606,0
96607,1
96608,0
96609,2
96610,1
96611,1
96613,0
96614,0
96615,0
96616,0
96618,0
96619,0
96620,0
96621,0
96622,0
96623,1
96624,0
96625,1
96626,0
96627,2
96628,0
96629,0
96630,0
96631,0
96632,0
96633,0
96634,1
96635,1
96636,1
96637,1
96638,2
96642,1
96643,1
96644,0
96645,1
96649,0
96650,0
96651,0
96652,1
96656,1
96657,0
96659,0
96662,0
96663,1
96664,0
96665,1
96666,1
96667,1
96668,1
96671,2
96672,1
96673,1
96674,0
96675,0
96677,1
96678,0
96679,0
96680,0
96683,0
96684,1
96685,0
96686,1
96687,0
96688,0
96691,0
96693,2
96694,1
96695,1
96696,0
96697,0
96698,1
96699,0
96700,1
96701,0
96702,0
96703,1
96704,1
96705,1
96706,0
96707,1
96708,0
96710,0
96711,0
96712,0
96713,0
96714,0
96715,0
96716,1
96718,0
96719,0
96722,1
96723,1
96724,1
96725,1
96728,0
96729,0
96731,1
96732,1
96733,0
96734,1
96735,0
96736,0
96737,0
96738,1
96740,0
96741,1
96742,1
96743,3
96746,0
96747,0
96748,1
96750,0
