,approach,type,volume
0,SB,dual,37
1,SB,bike,3
2,SB,bus,12
3,NB,dual,39
4,NB,bike,7
5,NB,bus,6
6,WB,dual,3
7,WB,bike,0
8,WB,bus,0
9,EB,dual,2
10,EB,bike,2
11,EB,bus,0
12,SB,dual,2
13,SB,bike,3
14,SB,bus,0
15,NB,dual,0
16,NB,bike,0
17,NB,bus,0
18,WB,dual,140
19,WB,bike,25
20,WB,bus,34
21,EB,dual,270
22,EB,bike,4
23,EB,bus,48
24,SB,dual,23
25,SB,bike,2
26,SB,bus,0
27,NB,dual,0
28,NB,bike,0
29,NB,bus,0
30,WB,dual,180
31,WB,bike,0
32,WB,bus,111
33,EB,dual,111
34,EB,bike,0
35,EB,bus,116
36,SB,dual,44
37,SB,bike,2
38,SB,bus,23
39,NB,dual,88
40,NB,bike,0
41,NB,bus,23
42,WB,dual,4
43,WB,bike,0
44,WB,bus,0
45,EB,dual,5
46,EB,bike,17
47,EB,bus,0
48,SB,dual,13
49,SB,bike,3
50,SB,bus,0
51,NB,dual,18
52,NB,bike,18
53,NB,bus,9
54,WB,dual,84
55,WB,bike,4
56,WB,bus,29
57,EB,dual,94
58,EB,bike,14
59,EB,bus,32
60,SB,dual,142
61,SB,bike,0
62,SB,bus,29
63,NB,dual,115
64,NB,bike,0
65,NB,bus,31
66,WB,dual,0
67,WB,bike,10
68,WB,bus,0
69,EB,dual,6
70,EB,bike,32
71,EB,bus,0
72,SB,dual,2
73,SB,bike,4
74,SB,bus,0
75,NB,dual,2
76,NB,bike,0
77,NB,bus,0
78,WB,dual,41
79,WB,bike,0
80,WB,bus,6
81,EB,dual,52
82,EB,bike,0
83,EB,bus,2
84,SB,dual,0
85,SB,bike,0
86,SB,bus,0
87,NB,dual,0
88,NB,bike,0
89,NB,bus,0
90,WB,dual,0
91,WB,bike,0
92,WB,bus,0
93,EB,dual,0
94,EB,bike,0
95,EB,bus,0
96,SB,dual,2
97,SB,bike,0
98,SB,bus,0
99,NB,dual,3
100,NB,bike,0
101,NB,bus,0
102,WB,dual,11
103,WB,bike,9
104,WB,bus,0
105,EB,dual,13
106,EB,bike,5
107,EB,bus,0
108,SB,dual,197
109,SB,bike,159
110,SB,bus,90
111,NB,dual,110
112,NB,bike,132
113,NB,bus,102
114,WB,dual,181
115,WB,bike,110
116,WB,bus,39
117,EB,dual,98
118,EB,bike,83
119,EB,bus,105
120,SB,dual,133
121,SB,bike,0
122,SB,bus,13
123,NB,dual,34
124,NB,bike,1
125,NB,bus,0
126,WB,dual,0
127,WB,bike,0
128,WB,bus,0
129,EB,dual,81
130,EB,bike,2
131,EB,bus,12
132,SB,dual,0
133,SB,bike,0
134,SB,bus,0
135,NB,dual,106
136,NB,bike,9
137,NB,bus,0
138,WB,dual,35
139,WB,bike,3
140,WB,bus,31
141,EB,dual,96
142,EB,bike,1
143,EB,bus,19
144,SB,dual,2
145,SB,bike,0
146,SB,bus,0
147,NB,dual,33
148,NB,bike,1
149,NB,bus,0
150,WB,dual,234
151,WB,bike,8
152,WB,bus,40
153,EB,dual,324
154,EB,bike,14
155,EB,bus,42
156,SB,dual,150
157,SB,bike,16
158,SB,bus,72
159,NB,dual,68
160,NB,bike,9
161,NB,bus,70
162,WB,dual,100
163,WB,bike,1
164,WB,bus,48
165,EB,dual,86
166,EB,bike,19
167,EB,bus,43
168,SB,dual,7
169,SB,bike,0
170,SB,bus,0
171,NB,dual,8
172,NB,bike,0
173,NB,bus,0
174,WB,dual,109
175,WB,bike,8
176,WB,bus,57
177,EB,dual,94
178,EB,bike,0
179,EB,bus,56
180,SB,dual,43
181,SB,bike,0
182,SB,bus,0
183,NB,dual,27
184,NB,bike,4
185,NB,bus,0
186,WB,dual,128
187,WB,bike,1
188,WB,bus,84
189,EB,dual,85
190,EB,bike,2
191,EB,bus,99
192,SB,dual,35
193,SB,bike,6
194,SB,bus,25
195,NB,dual,22
196,NB,bike,14
197,NB,bus,30
198,WB,dual,51
199,WB,bike,9
200,WB,bus,1
201,EB,dual,146
202,EB,bike,11
203,EB,bus,18
204,SB,dual,4
205,SB,bike,3
206,SB,bus,0
207,NB,dual,8
208,NB,bike,7
209,NB,bus,0
210,WB,dual,4
211,WB,bike,0
212,WB,bus,0
213,EB,dual,2
214,EB,bike,8
215,EB,bus,0
216,SB,dual,33
217,SB,bike,12
218,SB,bus,0
219,NB,dual,43
220,NB,bike,12
221,NB,bus,0
222,WB,dual,0
223,WB,bike,0
224,WB,bus,0
225,EB,dual,2
226,EB,bike,1
227,EB,bus,0
228,SB,dual,6
229,SB,bike,7
230,SB,bus,0
231,NB,dual,3
232,NB,bike,3
233,NB,bus,0
234,WB,dual,0
235,WB,bike,0
236,WB,bus,0
237,EB,dual,1
238,EB,bike,6
239,EB,bus,0
240,SB,dual,120
241,SB,bike,4
242,SB,bus,90
243,NB,dual,54
244,NB,bike,8
245,NB,bus,56
246,WB,dual,15
247,WB,bike,0
248,WB,bus,0
249,EB,dual,0
250,EB,bike,0
251,EB,bus,0
252,SB,dual,6
253,SB,bike,0
254,SB,bus,0
255,NB,dual,0
256,NB,bike,0
257,NB,bus,0
258,WB,dual,3
259,WB,bike,1
260,WB,bus,0
261,EB,dual,5
262,EB,bike,0
263,EB,bus,0
264,SB,dual,5
265,SB,bike,13
266,SB,bus,0
267,NB,dual,2
268,NB,bike,0
269,NB,bus,0
270,WB,dual,150
271,WB,bike,0
272,WB,bus,45
273,EB,dual,119
274,EB,bike,7
275,EB,bus,49
276,SB,dual,40
277,SB,bike,5
278,SB,bus,0
279,NB,dual,55
280,NB,bike,0
281,NB,bus,0
282,WB,dual,0
283,WB,bike,0
284,WB,bus,0
285,EB,dual,1
286,EB,bike,0
287,EB,bus,0
288,SB,dual,1
289,SB,bike,0
290,SB,bus,0
291,NB,dual,1
292,NB,bike,0
293,NB,bus,0
294,WB,dual,27
295,WB,bike,1
296,WB,bus,17
297,EB,dual,34
298,EB,bike,0
299,EB,bus,16
300,SB,dual,0
301,SB,bike,0
302,SB,bus,0
303,NB,dual,2
304,NB,bike,0
305,NB,bus,0
306,WB,dual,58
307,WB,bike,2
308,WB,bus,1
309,EB,dual,37
310,EB,bike,2
311,EB,bus,0
312,SB,dual,11
313,SB,bike,0
314,SB,bus,0
315,NB,dual,3
316,NB,bike,0
317,NB,bus,0
318,WB,dual,91
319,WB,bike,6
320,WB,bus,22
321,EB,dual,119
