,approach,count_id,type,volume
0,NB,1,dual,0
1,NB,1,bike,9
2,NB,1,bus,0
3,SB,1,dual,6
4,SB,1,bike,10
5,SB,1,bus,0
6,EB,1,dual,12
7,EB,1,bike,9
8,EB,1,bus,0
9,WB,1,dual,11
10,WB,1,bike,22
11,WB,1,bus,0
12,NB,2,dual,61
13,NB,2,bike,6
14,NB,2,bus,17
15,SB,2,dual,69
16,SB,2,bike,9
17,SB,2,bus,17
18,EB,2,dual,26
19,EB,2,bike,4
20,EB,2,bus,23
21,WB,2,dual,2
22,WB,2,bike,5
23,WB,2,bus,0
24,NB,3,dual,89
25,NB,3,bike,0
26,NB,3,bus,0
27,SB,3,dual,26
28,SB,3,bike,0
29,SB,3,bus,0
30,EB,3,dual,773
31,EB,3,bike,0
32,EB,3,bus,17
33,WB,3,dual,845
34,WB,3,bike,0
35,WB,3,bus,19
36,NB,5,dual,0
37,NB,5,bike,0
38,NB,5,bus,0
39,SB,5,dual,112
40,SB,5,bike,0
41,SB,5,bus,0
42,EB,5,dual,1044
43,EB,5,bike,12
44,EB,5,bus,25
45,WB,5,dual,775
46,WB,5,bike,16
47,WB,5,bus,23
48,NB,10,dual,3
49,NB,10,bike,1
50,NB,10,bus,0
51,SB,10,dual,1
52,SB,10,bike,0
53,SB,10,bus,0
54,EB,10,dual,0
55,EB,10,bike,0
56,EB,10,bus,0
57,WB,10,dual,2
58,WB,10,bike,0
59,WB,10,bus,0
60,NB,13,dual,5
61,NB,13,bike,0
62,NB,13,bus,0
63,SB,13,dual,61
64,SB,13,bike,0
65,SB,13,bus,0
66,EB,13,dual,169
67,EB,13,bike,0
68,EB,13,bus,0
69,WB,13,dual,256
70,WB,13,bike,0
71,WB,13,bus,0
72,NB,14,dual,3
73,NB,14,bike,1
74,NB,14,bus,0
75,SB,14,dual,3
76,SB,14,bike,2
77,SB,14,bus,0
78,EB,14,dual,217
79,EB,14,bike,14
80,EB,14,bus,23
81,WB,14,dual,207
82,WB,14,bike,7
83,WB,14,bus,14
84,NB,17,dual,4
85,NB,17,bike,1
86,NB,17,bus,0
87,SB,17,dual,8
88,SB,17,bike,11
89,SB,17,bus,0
90,EB,17,dual,74
91,EB,17,bike,17
92,EB,17,bus,32
93,WB,17,dual,67
94,WB,17,bike,5
95,WB,17,bus,37
96,NB,18,dual,3
97,NB,18,bike,0
98,NB,18,bus,0
99,SB,18,dual,4
100,SB,18,bike,0
101,SB,18,bus,0
102,EB,18,dual,72
103,EB,18,bike,0
104,EB,18,bus,31
105,WB,18,dual,77
106,WB,18,bike,0
107,WB,18,bus,35
108,NB,19,dual,4
109,NB,19,bike,4
110,NB,19,bus,0
111,SB,19,dual,9
112,SB,19,bike,10
113,SB,19,bus,0
114,EB,19,dual,78
115,EB,19,bike,15
116,EB,19,bus,32
117,WB,19,dual,54
118,WB,19,bike,19
119,WB,19,bus,35
120,NB,23,dual,3
121,NB,23,bike,0
122,NB,23,bus,0
123,SB,23,dual,4
124,SB,23,bike,0
125,SB,23,bus,0
126,EB,23,dual,79
127,EB,23,bike,0
128,EB,23,bus,31
129,WB,23,dual,64
130,WB,23,bike,0
131,WB,23,bus,34
132,NB,25,dual,4
133,NB,25,bike,4
134,NB,25,bus,0
135,SB,25,dual,3
136,SB,25,bike,3
137,SB,25,bus,0
138,EB,25,dual,18
139,EB,25,bike,4
140,EB,25,bus,0
141,WB,25,dual,21
142,WB,25,bike,4
143,WB,25,bus,0
144,NB,26,dual,6
145,NB,26,bike,1
146,NB,26,bus,0
147,SB,26,dual,3
148,SB,26,bike,2
149,SB,26,bus,0
150,EB,26,dual,16
151,EB,26,bike,6
152,EB,26,bus,1
153,WB,26,dual,14
154,WB,26,bike,5
155,WB,26,bus,0
156,NB,29,dual,1
157,NB,29,bike,2
158,NB,29,bus,0
159,SB,29,dual,1
160,SB,29,bike,4
161,SB,29,bus,0
162,EB,29,dual,184
163,EB,29,bike,9
164,EB,29,bus,73
165,WB,29,dual,215
166,WB,29,bike,16
167,WB,29,bus,64
168,NB,32,dual,3
169,NB,32,bike,0
170,NB,32,bus,0
171,SB,32,dual,5
172,SB,32,bike,0
173,SB,32,bus,0
174,EB,32,dual,226
175,EB,32,bike,0
176,EB,32,bus,65
177,WB,32,dual,202
178,WB,32,bike,0
179,WB,32,bus,62
180,NB,33,dual,3
181,NB,33,bike,0
182,NB,33,bus,0
183,SB,33,dual,8
184,SB,33,bike,0
185,SB,33,bus,0
186,EB,33,dual,116
187,EB,33,bike,0
188,EB,33,bus,59
189,WB,33,dual,125
190,WB,33,bike,0
191,WB,33,bus,42
192,NB,37,dual,159
193,NB,37,bike,3
194,NB,37,bus,82
195,SB,37,dual,179
196,SB,37,bike,0
197,SB,37,bus,44
198,EB,37,dual,159
199,EB,37,bike,0
200,EB,37,bus,28
201,WB,37,dual,157
202,WB,37,bike,0
203,WB,37,bus,51
204,NB,38,dual,90
205,NB,38,bike,0
206,NB,38,bus,122
207,SB,38,dual,122
208,SB,38,bike,0
209,SB,38,bus,43
210,EB,38,dual,118
211,EB,38,bike,0
212,EB,38,bus,21
213,WB,38,dual,148
214,WB,38,bike,0
215,WB,38,bus,49
216,NB,42,dual,47
217,NB,42,bike,13
218,NB,42,bus,0
219,SB,42,dual,42
220,SB,42,bike,6
221,SB,42,bus,0
222,EB,42,dual,7
223,EB,42,bike,2
224,EB,42,bus,0
225,WB,42,dual,4
226,WB,42,bike,10
227,WB,42,bus,0
228,NB,43,dual,63
229,NB,43,bike,2
230,NB,43,bus,0
231,SB,43,dual,48
232,SB,43,bike,0
233,SB,43,bus,0
234,EB,43,dual,9
235,EB,43,bike,0
236,EB,43,bus,0
237,WB,43,dual,0
238,WB,43,bike,0
239,WB,43,bus,0
240,NB,44,dual,248
241,NB,44,bike,3
242,NB,44,bus,41
243,SB,44,dual,190
244,SB,44,bike,2
245,SB,44,bus,41
246,EB,44,dual,3
247,EB,44,bike,1
248,EB,44,bus,0
249,WB,44,dual,1
250,WB,44,bike,0
251,WB,44,bus,0
252,NB,48,dual,15
253,NB,48,bike,12
254,NB,48,bus,0
255,SB,48,dual,30
256,SB,48,bike,6
257,SB,48,bus,0
258,EB,48,dual,135
259,EB,48,bike,3
260,EB,48,bus,34
261,WB,48,dual,104
262,WB,48,bike,6
263,WB,48,bus,34
264,NB,52,dual,6
265,NB,52,bike,6
266,NB,52,bus,0
267,SB,52,dual,6
268,SB,52,bike,2
269,SB,52,bus,0
270,EB,52,dual,4
271,EB,52,bike,4
272,EB,52,bus,0
273,WB,52,dual,3
274,WB,52,bike,5
275,WB,52,bus,0
276,NB,53,dual,68
277,NB,53,bike,27
278,NB,53,bus,30
279,SB,53,dual,7
280,SB,53,bike,371
281,SB,53,bus,0
282,EB,53,dual,8
283,EB,53,bike,308
284,EB,53,bus,0
285,WB,53,dual,20
286,NB,54,dual,2
287,NB,54,bike,0
288,NB,54,bus,5
289,SB,54,dual,0
290,SB,54,bike,4
291,SB,54,bus,0
292,EB,54,dual,1
293,EB,54,bike,6
294,EB,54,bus,0
295,WB,54,dual,0
296,NB,55,dual,2
297,NB,55,bike,0
298,NB,55,bus,0
299,SB,55,dual,3
300,SB,55,bike,0
301,SB,55,bus,0
302,EB,55,dual,8
303,EB,55,bike,0
304,EB,55,bus,0
305,WB,55,dual,7
306,WB,55,bike,0
307,WB,55,bus,0
308,NB,56,dual,4
309,NB,56,bike,0
310,NB,56,bus,0
311,SB,56,dual,4
312,SB,56,bike,0
313,SB,56,bus,0
314,EB,56,dual,8
315,EB,56,bike,0
316,EB,56,bus,0
317,WB,56,dual,1
318,WB,56,bike,0
319,WB,56,bus,0
320,NB,57,dual,3
321,NB,57,bike,0
322,NB,57,bus,0
323,SB,57,dual,4
324,SB,57,bike,0
325,SB,57,bus,0
326,EB,57,dual,4
327,EB,57,bike,0
328,EB,57,bus,0
329,WB,57,dual,6
330,WB,57,bike,0
331,WB,57,bus,1
332,NB,61,dual,2
333,NB,61,bike,0
334,NB,61,bus,0
335,SB,61,dual,1
336,SB,61,bike,0
337,SB,61,bus,0
338,EB,61,dual,4
339,EB,61,bike,0
340,EB,61,bus,0
341,WB,61,dual,4
342,WB,61,bike,0
343,WB,61,bus,0
344,NB,62,dual,5
345,NB,62,bike,0
346,NB,62,bus,0
347,SB,62,dual,3
348,SB,62,bike,0
349,SB,62,bus,0
350,EB,62,dual,7
351,EB,62,bike,0
352,EB,62,bus,0
353,WB,62,dual,6
354,WB,62,bike,0
355,WB,62,bus,0
356,NB,63,dual,283
357,NB,63,bike,5
358,NB,63,bus,51
359,SB,63,dual,258
360,SB,63,bike,3
361,SB,63,bus,31
362,EB,63,dual,1
363,EB,63,bike,2
364,EB,63,bus,0
365,WB,63,dual,1
366,WB,63,bike,0
367,WB,63,bus,0
368,NB,64,dual,280
369,NB,64,bike,26
370,NB,64,bus,36
371,SB,64,dual,284
372,SB,64,bike,15
373,SB,64,bus,31
374,EB,64,dual,5
375,EB,64,bike,4
376,EB,64,bus,0
377,WB,64,dual,0
378,WB,64,bike,0
379,WB,64,bus,0
380,NB,65,dual,158
381,NB,65,bike,0
382,NB,65,bus,28
383,SB,65,dual,269
384,SB,65,bike,0
385,SB,65,bus,26
386,EB,65,dual,2
387,EB,65,bike,0
388,EB,65,bus,0
389,WB,65,dual,1
390,WB,65,bike,0
391,WB,65,bus,0
392,NB,66,dual,277
393,NB,66,bike,0
394,NB,66,bus,30
395,SB,66,dual,299
396,SB,66,bike,0
397,SB,66,bus,28
398,EB,66,dual,5
399,EB,66,bike,0
400,EB,66,bus,0
401,WB,66,dual,1
402,WB,66,bike,0
403,WB,66,bus,0
404,NB,67,dual,348
405,NB,67,bike,0
406,NB,67,bus,29
407,SB,67,dual,328
408,SB,67,bike,0
409,SB,67,bus,41
410,EB,67,dual,5
411,EB,67,bike,0
412,EB,67,bus,0
413,WB,67,dual,7
414,WB,67,bike,0
415,WB,67,bus,0
416,NB,68,dual,301
417,NB,68,bike,19
418,NB,68,bus,39
419,SB,68,dual,241
420,SB,68,bike,18
421,SB,68,bus,44
422,EB,68,dual,2
423,EB,68,bike,1
424,EB,68,bus,0
425,WB,68,dual,3
426,WB,68,bike,1
427,WB,68,bus,0
428,NB,74,dual,346
429,NB,74,bike,0
430,NB,74,bus,44
431,SB,74,dual,425
432,SB,74,bike,0
433,SB,74,bus,56
434,EB,74,dual,219
435,EB,74,bike,0
436,EB,74,bus,0
437,WB,74,dual,172
438,WB,74,bike,2
439,WB,74,bus,24
440,NB,75,dual,107
441,NB,75,bike,0
442,NB,75,bus,81
443,SB,75,dual,251
444,SB,75,bike,0
445,SB,75,bus,132
446,EB,75,dual,105
447,EB,75,bike,0
448,EB,75,bus,34
449,WB,75,dual,64
450,WB,75,bike,0
451,WB,75,bus,20
452,NB,76,dual,33
453,NB,76,bike,0
454,NB,76,bus,0
455,SB,76,dual,89
456,SB,76,bike,0
457,SB,76,bus,12
458,EB,76,dual,111
459,EB,76,bike,0
460,EB,76,bus,0
461,WB,76,dual,51
462,WB,76,bike,0
463,WB,76,bus,14
464,NB,77,dual,332
465,NB,77,bike,0
466,NB,77,bus,47
467,SB,77,dual,344
468,SB,77,bike,0
469,SB,77,bus,48
470,EB,77,dual,210
471,EB,77,bike,0
472,EB,77,bus,0
473,WB,77,dual,110
474,WB,77,bike,2
475,WB,77,bus,28
476,NB,78,dual,370
477,NB,78,bike,43
478,NB,78,bus,417
479,SB,78,dual,60
480,SB,78,bike,206
481,SB,78,bus,0
482,EB,78,dual,0
483,EB,78,bike,160
484,EB,78,bus,0
485,WB,78,dual,18
486,NB,81,dual,0
487,NB,81,bike,0
488,NB,81,bus,0
489,SB,81,dual,0
490,SB,81,bike,0
491,SB,81,bus,0
492,EB,81,dual,0
493,EB,81,bike,0
494,EB,81,bus,0
495,WB,81,dual,0
496,WB,81,bike,0
497,WB,81,bus,0
498,NB,82,dual,0
499,NB,82,bike,0
500,NB,82,bus,0
501,SB,82,dual,0
502,SB,82,bike,0
503,SB,82,bus,0
504,EB,82,dual,0
505,EB,82,bike,0
506,EB,82,bus,0
507,WB,82,dual,0
508,WB,82,bike,0
509,WB,82,bus,0
510,NB,83,dual,0
511,NB,83,bike,0
512,NB,83,bus,0
513,SB,83,dual,0
514,SB,83,bike,0
515,SB,83,bus,0
516,EB,83,dual,0
517,EB,83,bike,0
518,EB,83,bus,0
519,WB,83,dual,0
520,WB,83,bike,0
521,WB,83,bus,0
522,NB,84,dual,0
523,NB,84,bike,0
524,NB,84,bus,0
525,SB,84,dual,0
526,SB,84,bike,0
527,SB,84,bus,0
528,EB,84,dual,0
529,EB,84,bike,0
530,EB,84,bus,0
531,WB,84,dual,0
532,WB,84,bike,0
533,WB,84,bus,0
534,NB,85,dual,0
535,NB,85,bike,0
536,NB,85,bus,0
537,SB,85,dual,0
538,SB,85,bike,0
539,SB,85,bus,0
540,EB,85,dual,0
541,EB,85,bike,0
542,EB,85,bus,0
543,WB,85,dual,0
544,WB,85,bike,0
545,WB,85,bus,0
546,NB,88,dual,0
547,NB,88,bike,0
548,NB,88,bus,0
549,SB,88,dual,0
550,SB,88,bike,0
551,SB,88,bus,0
552,EB,88,dual,0
553,EB,88,bike,0
554,EB,88,bus,0
555,WB,88,dual,0
556,WB,88,bike,0
557,WB,88,bus,0
558,NB,99,dual,21
559,NB,99,bike,0
560,NB,99,bus,0
561,SB,99,dual,7
562,SB,99,bike,9
563,SB,99,bus,0
564,EB,99,dual,75
565,EB,99,bike,0
566,EB,99,bus,29
567,WB,99,dual,115
568,WB,99,bike,4
569,WB,99,bus,30
570,NB,100,dual,0
571,NB,100,bike,0
572,NB,100,bus,0
573,SB,100,dual,6
574,SB,100,bike,0
