,count_id,date,dayofweek,district,hours,school_day,street_ew,street_ns,weather
0,1,1994-10-28,FRI,SOUTHERN,,YES,"L"" ST",ISLAND AV,CLEAR
1,2,1994-09-14,WED,SOUTHERN,,YES,L ST,FIGUEROA ST,CLEAR
2,3,1995-03-24,FRI,SOUTHERN,,YES,"HARRY BRIDGES BL / ""B"" ST",FRIES AV,CLEAR
3,5,2011-01-19,WEDNESDAY,SOUTHERN,7-10AM 3-6PM,YES,ANAHEIM ST,FARRAGUT AV,SUNNY
4,10,1993-11-05,FRI,SOUTHERN,,YES,DON ST,FRIGATE AV,CLEAR
5,13,1999-04-05,TUESDAY,SOUTHERN,,YES,REDONDO BEACH BL,ORCHARD AV,RAIN
6,14,2015-06-16,Tuesday,,7-10 & 3-6,YES,Redondo Beach Blvd,Orchard Ave,SUNNY
7,17,2004-05-20,THURSDAY,SOUTHERN,,YES,GARDENA BL,MENLO AV,CLEAR
8,18,1998-01-15,THRUSDAY,SOUTHERN,,YES,GARDENA BL,MENLO AV,CLEAR
9,19,2017-10-19,THURSDAY,SOUTHERN,7-10 AM 2-5 PM,YES,GARDENA BL.,MENLO AV.,SUNNY
10,23,1995-04-05,WED,SOUTHERN,AM 2-5 PM,YES,GARDENA BL,ESTRELLA AV,CLEAR
11,25,1993-12-07,TUE,SOUTHERN,AM 2-5 PM,YES,168TH STREET,HOOVER ST,CLEAR
12,26,1994-02-25,FRI,SOUTHERN,AM 2-5 PM,YES,168TH ST,HOOVER ST,CLEAR
13,29,2004-05-11,TUESDAY,SOUTHERN,,YES,IMPERIAL HWY,STANFORD AV,CLEAR
14,32,2004-03-30,TUESDAY,SOUTHERN,,YES,IMPERIAL HWY,WADSWORTH AV,CLEAR
15,33,10/25/2017,Wednesday,0,7-10AM 3-6PM,Yes,E 114th St/Imperial Hwy,Wadsworth Ave,SUNNY
16,37,1995-08-31,THUR,SOUTHERN,,YES,IMPERIAL HWY,FIGUEROA ST,CLEAR
17,38,1998-09-30,WEDNESDAY,SOUTHERN,,YES,IMPERIAL HWY,FIGUEROA ST,CLEAR
18,42,1993-06-30,WED,SOUTHERN,,YES,82ND ST,HOOVER ST,CLEAR
19,43,1993-06-17,THUR,SOUTHERN,,YES,83RD STREET,HOOVER ST,CLEAR
20,44,1994-01-07,FRI,SOUTHERN,AM 2-5 PM,YES,84TH ST,FIGUEROA ST,CLEAR
21,48,2008-05-06,TUESDAY,SOUTHERN,7-10AM 3-6PM,YES,CENTURY BL,HOOVER ST,SUNNY
22,52,1993-08-27,FRI,SSOUTHERN,,YES,114TH STREET,GRAPE STREET,CLEAR
23,53,1997-01-07,TUESDAY,SOUTHERN,,NO,IMPERIAL HWY,MONA BL,CLEAR
24,54,1996-03-21,THUR,HOLLYWOOD,,YES,FERNDALE ST,VINEYARD AV,CLOUDY
25,55,1997-05-09,FRIDAY,HOLLYWOOD,,YES,FERNDALE ST/30TH ST,VINEYARD AV,CLOUDY
26,56,1999-03-05,FRIDAY,HOLLYWOOD,AM 2-5 PM,YES,FERNDALE ST,VINEYARD AV,CLEAR
27,57,2001-03-05,MONDAY,HOLLLYWOOD,,YES,FERNDALE ST,VINEYARD AV,RAIN
