,approach,count_id,time,type,volume
0,SB,1,1994-10-28 08:00:00,am15,24
1,SB,1,1994-10-28 17:00:00,pm15,29
2,SB,1,1994-10-28 07:30:00,am60,73
3,SB,1,1994-10-28 16:15:00,pm60,83
4,SB,2,1994-09-14 07:45:00,am15,104
5,SB,2,1994-09-14 17:00:00,pm15,94
6,SB,2,1994-09-14 07:45:00,am60,305
7,SB,2,1994-09-14 16:15:00,pm60,297
8,SB,3,1995-03-24 09:30:00,am15,39
9,SB,3,1995-03-24 15:30:00,pm15,19
10,SB,3,1995-03-24 07:00:00,am60,122
11,SB,3,1995-03-24 15:15:00,pm60,56
12,SB,5,2011-01-19 09:30:00,am15,22
13,SB,5,2011-01-19 16:30:00,pm15,54
14,SB,5,2011-01-19 08:45:00,am60,74
15,SB,5,2011-01-19 15:45:00,pm60,115
16,SB,10,1993-11-05 08:30:00,am15,5
17,SB,10,1993-11-05 16:30:00,pm15,8
18,SB,10,1993-11-05 08:30:00,am60,12
19,SB,10,1993-11-05 16:30:00,pm60,28
20,SB,13,1999-04-05 08:00:00,am15,15
21,SB,13,1999-04-05 16:30:00,pm15,59
22,SB,13,1999-04-05 07:45:00,am60,39
23,SB,13,1999-04-05 17:00:00,pm60,139
24,SB,14,2015-06-16 09:30:00,am15,19
25,SB,14,2015-06-16 16:15:00,pm15,32
26,SB,14,2015-06-16 09:00:00,am60,45
27,SB,14,2015-06-16 15:30:00,pm60,98
28,SB,17,2004-05-20 07:30:00,am15,13
29,SB,17,2004-05-20 14:30:00,pm15,12
30,SB,17,2004-05-20 07:00:00,am60,40
31,SB,17,2004-05-20 14:15:00,pm60,41
32,SB,18,1998-01-15 08:15:00,am15,8
33,SB,18,1998-01-15 17:15:00,pm15,11
34,SB,18,1998-01-15 07:45:00,am60,27
35,SB,18,1998-01-15 16:30:00,pm60,27
36,SB,19,2017-10-19 07:45:00,am15,39
37,SB,19,2017-10-19 15:30:00,pm15,17
38,SB,19,2017-10-19 07:15:00,am60,93
39,SB,19,2017-10-19 14:45:00,pm60,54
40,SB,23,1995-04-05 08:15:00,am15,17
41,SB,23,1995-04-05 14:30:00,pm15,34
42,SB,23,1995-04-05 07:30:00,am60,39
43,SB,23,1995-04-05 14:15:00,pm60,66
44,SB,25,1993-12-07 07:45:00,am15,14
45,SB,25,1993-12-07 14:30:00,pm15,12
46,SB,25,1993-12-07 07:45:00,am60,42
47,SB,25,1993-12-07 14:00:00,pm60,29
48,SB,26,1994-02-25 07:30:00,am15,9
49,SB,26,1994-02-25 14:30:00,pm15,12
50,SB,26,1994-02-25 07:30:00,am60,30
51,SB,26,1994-02-25 15:45:00,pm60,37
52,SB,29,2004-05-11 07:45:00,am15,19
53,SB,29,2004-05-11 17:30:00,pm15,7
54,SB,29,2004-05-11 07:15:00,am60,62
55,SB,29,2004-05-11 17:00:00,pm60,23
56,SB,32,2004-03-30 07:30:00,am15,24
57,SB,32,2004-03-30 15:00:00,pm15,16
58,SB,32,2004-03-30 07:15:00,am60,81
59,SB,32,2004-03-30 16:00:00,pm60,55
60,SB,33,7.30,am15,19
61,SB,33,5.00,pm15,11
62,SB,33,7.00,am60,54
63,SB,33,5.00,pm60,37
64,SB,37,1995-08-31 07:15:00,am15,150
65,SB,37,1995-08-31 17:30:00,pm15,242
66,SB,37,1995-08-31 07:00:00,am60,570
67,SB,37,1995-08-31 17:00:00,pm60,901
68,SB,38,1998-09-30 07:45:00,am15,138
69,SB,38,1998-09-30 17:00:00,pm15,179
70,SB,38,1998-09-30 07:15:00,am60,440
71,SB,38,1998-09-30 16:45:00,pm60,658
72,SB,48,2008-05-06 07:45:00,am15,99
73,SB,48,2008-05-06 17:45:00,pm15,85
74,SB,48,2008-05-06 07:15:00,am60,304
75,SB,48,2008-05-06 17:00:00,pm60,281
76,SB,52,1993-08-27 08:00:00,am15,8
77,SB,52,1993-08-27 15:30:00,pm15,10
78,SB,52,1993-08-27 07:15:00,am60,18
79,SB,52,1993-08-27 15:30:00,pm60,26
80,SB,53,1997-01-07 09:15:00,am15,55
81,SB,53,1997-01-07 15:00:00,pm15,40
82,SB,53,1997-01-07 09:00:00,am60,161
83,SB,53,1997-01-07 15:00:00,pm60,119
84,SB,54,1996-03-21 07:15:00,am15,9
85,SB,54,1996-03-21 17:45:00,pm15,14
86,SB,54,1996-03-21 07:00:00,am60,31
87,SB,54,1996-03-21 17:00:00,pm60,39
88,SB,55,1997-05-09 07:30:00,am15,12
89,SB,55,1997-05-09 16:30:00,pm15,13
90,SB,55,1997-05-09 07:00:00,am60,37
91,SB,55,1997-05-09 15:45:00,pm60,30
92,SB,56,1999-03-05 07:15:00,am15,12
93,SB,56,1999-03-05 14:45:00,pm15,11
94,SB,56,1999-03-05 07:15:00,am60,38
95,SB,56,1999-03-05 14:45:00,pm60,33
96,SB,57,2001-03-05 07:45:00,am15,17
97,SB,57,2001-03-05 15:00:00,pm15,9
98,SB,57,2001-03-05 07:30:00,am60,46
99,SB,57,2001-03-05 15:00:00,pm60,30
100,SB,61,1998-12-02 07:45:00,am15,10
101,SB,61,1998-12-02 15:15:00,pm15,10
102,SB,61,1998-12-02 07:15:00,am60,30
103,SB,61,1998-12-02 16:45:00,pm60,24
104,SB,62,1997-05-19 07:45:00,am15,14
