,Peak,Pedestrian,Spec_Veh,Volume,count_id
0,Pass,Pass,Pass,Pass,1
1,Pass,Pass,Pass,Pass,2
2,Pass,Pass,Pass,Pass,3
3,Pass,Pass,Pass,Fail,5
4,Pass,Pass,Pass,Pass,10
5,Pass,Pass,Pass,Pass,13
6,Pass,Pass,Pass,Pass,14
7,Pass,Fail,Pass,Fail,17
8,Pass,Pass,Pass,Pass,18
9,Pass,Pass,Pass,Pass,19
10,Pass,Pass,Pass,Pass,23
11,Pass,Pass,Pass,Pass,25
12,Pass,Pass,Pass,Pass,26
13,Pass,Fail,Pass,Fail,29
14,Pass,Fail,Pass,Fail,32
15,Pass,Pass,Pass,Pass,33
16,Pass,Pass,Pass,Pass,37
17,Pass,Pass,Pass,Pass,38
18,Fail,Pass,Pass,Pass,42
19,Fail,Pass,Pass,Pass,43
20,Fail,Pass,Pass,Fail,44
21,Pass,Pass,Pass,Fail,48
22,Pass,Pass,Pass,Pass,52
23,Pass,Pass,Fail,Fail,53
24,Pass,Pass,Fail,Pass,54
25,Pass,Pass,Pass,Pass,55
26,Pass,Pass,Pass,Pass,56
27,Pass,Fail,Pass,Fail,57
28,Pass,Pass,Pass,Pass,61
29,Pass,Pass,Pass,Pass,62
30,Fail,Pass,Pass,Fail,63
31,Pass,Pass,Pass,Pass,64
32,Pass,Pass,Pass,Pass,65
33,Pass,Pass,Pass,Pass,66
34,Pass,Pass,Pass,Pass,67
35,Pass,Pass,Pass,Pass,68
36,Pass,Pass,Pass,Pass,74
37,Pass,Pass,Pass,Pass,75
38,Pass,Pass,Pass,Pass,76
39,Pass,Pass,Pass,Pass,77
40,Pass,Pass,Fail,Pass,78
41,Pass,Pass,Pass,Fail,81
42,Pass,Pass,Pass,Fail,82
43,Pass,Pass,Pass,Pass,83
44,Pass,Pass,Pass,Pass,84
45,Pass,Pass,Pass,Pass,85
46,Pass,Pass,Pass,Pass,88
47,Pass,Fail,Pass,Fail,99
48,Pass,Pass,Pass,Pass,100
49,Pass,Pass,Pass,Pass,101
50,Pass,Fail,Pass,Fail,103
51,Pass,Pass,Fail,Pass,105
52,Pass,Pass,Pass,Pass,107
53,Pass,Pass,Pass,Pass,108
54,Pass,Pass,Fail,Pass,109
55,Pass,Pass,Pass,Pass,112
56,Pass,Pass,Fail,Pass,113
57,Pass,Pass,Pass,Pass,114
58,Pass,Pass,Pass,Fail,115
59,Pass,Pass,Pass,Pass,116
60,Pass,Pass,Pass,Pass,119
61,Pass,Pass,Pass,Fail,120
62,Pass,Fail,Pass,Fail,128
63,Pass,Pass,Pass,Pass,129
64,Pass,Pass,Pass,Pass,130
65,Pass,Fail,Pass,Fail,131
66,Pass,Fail,Pass,Fail,132
67,Pass,Pass,Pass,Pass,133
68,Pass,Pass,Pass,Pass,135
69,Pass,Fail,Pass,Fail,136
70,Pass,Pass,Pass,Pass,137
71,Pass,Fail,Pass,Fail,138
72,Fail,Pass,Fail,Pass,139
73,Pass,Fail,Pass,Fail,143
74,Pass,Pass,Pass,Fail,144
75,Pass,Pass,Pass,Pass,147
76,Pass,Pass,Pass,Pass,148
77,Pass,Pass,Fail,Pass,149
78,Pass,Pass,Pass,Pass,150
79,Pass,Pass,Pass,Pass,151
80,Pass,Fail,Pass,Fail,155
81,Pass,Fail,Pass,Fail,156
82,Pass,Fail,Pass,Fail,157
83,Pass,Pass,Pass,Pass,158
84,Pass,Pass,Pass,Pass,159
85,Pass,Pass,Pass,Pass,163
86,Fail,Fail,Pass,Pass,165
87,Pass,Pass,Pass,Fail,166
88,Pass,Fail,Pass,Fail,168
89,Pass,Pass,Pass,Pass,171
90,Fail,Pass,Fail,Fail,175
91,Pass,Pass,Pass,Pass,176
92,Pass,Pass,Pass,Fail,178
93,Pass,Pass,Pass,Pass,180
94,Pass,Pass,Pass,Pass,183
95,Pass,Pass,Pass,Pass,184
96,Pass,Pass,Pass,Pass,185
97,Pass,Pass,Fail,Pass,186
98,Pass,Pass,Pass,Pass,187
99,Pass,Fail,Pass,Fail,188
100,Pass,Pass,Pass,Pass,189
101,Pass,Fail,Pass,Fail,197
102,Pass,Pass,Pass,Pass,198
103,Pass,Pass,Pass,Pass,214
104,Pass,Pass,Pass,Fail,221
105,Fail,Pass,Pass,Pass,222
106,Fail,Pass,Pass,Fail,224
107,Pass,Pass,Pass,Pass,231
108,Pass,Pass,Pass,Pass,232
109,Pass,Pass,Pass,Pass,239
110,Pass,Fail,Pass,Fail,252
111,Pass,Fail,Pass,Fail,254
112,Fail,Pass,Pass,Fail,255
113,Pass,Pass,Pass,Fail,256
114,Pass,Pass,Pass,Pass,257
115,Pass,Fail,Pass,Fail,261
116,Pass,Fail,Pass,Fail,262
117,Pass,Fail,Pass,Fail,263
118,Fail,Pass,Pass,Pass,266
119,Pass,Pass,Pass,Pass,269
120,Fail,Pass,Pass,Fail,276
121,Pass,Pass,Pass,Pass,279
122,Pass,Pass,Pass,Pass,280
123,Fail,Pass,Fail,Fail,291
124,Pass,Pass,Pass,Fail,292
125,Pass,Pass,Pass,Fail,293
126,Pass,Fail,Pass,Fail,305
127,Pass,Pass,Pass,Pass,308
128,Pass,Pass,Fail,Pass,310
129,Pass,Pass,Pass,Pass,314
130,Pass,Pass,Pass,Pass,315
131,Pass,Pass,Pass,Fail,316
132,Pass,Fail,Pass,Fail,327
133,Fail,Pass,Fail,Pass,329
134,Pass,Pass,Pass,Pass,338
135,Pass,Pass,Pass,Pass,341
136,Pass,Pass,Pass,Pass,343
137,Pass,Pass,Pass,Fail,344
138,Pass,Pass,Pass,Pass,349
139,Fail,Pass,Pass,Pass,350
140,Pass,Pass,Pass,Fail,351
141,Pass,Pass,Pass,Pass,353
142,Pass,Pass,Pass,Pass,355
143,Pass,Pass,Pass,Pass,359
144,Fail,Pass,Pass,Pass,362
145,Pass,Pass,Pass,Pass,363
146,Pass,Pass,Pass,Pass,364
147,Pass,Pass,Pass,Pass,366
148,Pass,Fail,Pass,Fail,369
149,Fail,Pass,Pass,Fail,371
150,Pass,Pass,Pass,Fail,372
151,Pass,Fail,Pass,Fail,380
152,Pass,Pass,Pass,Fail,382
153,Pass,Pass,Pass,Fail,385
154,Pass,Pass,Pass,Pass,392
155,Pass,Pass,Pass,Fail,394
156,Pass,Pass,Pass,Pass,410
157,Pass,Pass,Pass,Pass,411
158,Pass,Pass,Pass,Pass,413
159,Pass,Pass,Pass,Pass,414
160,Fail,Pass,Pass,Fail,416
161,Pass,Pass,Pass,Pass,429
162,Fail,Pass,Pass,Fail,431
163,Pass,Pass,Pass,Fail,432
164,Pass,Fail,Pass,Fail,440
165,Pass,Pass,Pass,Pass,442
166,Fail,Pass,Fail,Pass,443
167,Pass,Pass,Pass,Pass,445
168,Pass,Pass,Pass,Pass,446
169,Pass,Pass,Pass,Fail,449
170,Pass,Fail,Pass,Fail,450
171,Pass,Pass,Pass,Pass,451
172,Pass,Pass,Pass,Pass,454
173,Pass,Pass,Pass,Pass,455
174,Pass,Pass,Pass,Pass,456
175,Pass,Fail,Pass,Fail,457
176,Pass,Pass,Pass,Pass,458
177,Pass,Pass,Pass,Pass,459
178,Fail,Fail,Pass,Fail,461
179,Pass,Pass,Pass,Pass,462
180,Pass,Fail,Pass,Fail,466
181,Pass,Fail,Pass,Fail,467
182,Pass,Pass,Pass,Pass,468
183,Pass,Pass,Pass,Pass,474
184,Pass,Fail,Pass,Fail,477
185,Pass,Fail,Pass,Fail,480
186,Pass,Pass,Pass,Pass,481
187,Pass,Pass,Pass,Pass,482
188,Pass,Pass,Fail,Pass,486
189,Pass,Fail,Pass,Fail,487
190,Pass,Pass,Fail,Pass,488
191,Pass,Fail,Pass,Fail,491
192,Pass,Pass,Pass,Pass,492
193,Pass,Pass,Pass,Pass,493
194,Fail,Pass,Pass,Fail,495
195,Fail,Pass,Fail,Pass,501
196,Pass,Pass,Pass,Pass,512
197,Pass,Pass,Pass,Pass,513
198,Pass,Pass,Pass,Pass,514
199,Pass,Fail,Pass,Fail,516
200,Pass,Pass,Pass,Fail,518
201,Pass,Fail,Pass,Fail,520
202,Pass,Fail,Pass,Fail,523
203,Pass,Pass,Pass,Pass,524
204,Pass,Fail,Pass,Fail,525
205,Pass,Pass,Pass,Pass,527
206,Pass,Pass,Pass,Pass,528
207,Pass,Pass,Pass,Pass,529
208,Pass,Fail,Pass,Fail,530
209,Pass,Pass,Pass,Pass,531
210,Pass,Pass,Pass,Pass,533
211,Pass,Pass,Pass,Pass,534
212,Pass,Pass,Pass,Pass,539
213,Pass,Pass,Pass,Pass,540
