,approach,count_id,time,type,volume
0,NB,68,3.00,pm60,530
1,EB,68,3.45,pm60,24
2,WB,68,3.45,pm60,31
3,SB,68,4.00,pm60,703
4,NB,70,2.00,pm60,0
5,EB,70,4.00,pm60,2403
6,WB,70,2.15,pm60,1238
7,SB,70,4.00,pm60,19
8,NB,89,3.00,pm60,0
9,EB,89,5.00,pm60,1591
10,WB,89,5.00,pm60,1053
11,SB,89,4.45,pm60,533
12,NB,112,4.00,pm60,411
13,EB,112,2.45,pm60,42
14,WB,112,2.30,pm60,55
15,SB,112,3.15,pm60,463
16,NB,142,3.45,pm60,94
17,EB,142,5.00,pm60,1119
18,WB,142,3.00,pm60,500
19,SB,142,3.30,pm60,63
20,NB,151,2.45,pm60,654
21,EB,151,2.30,pm60,31
22,WB,151,2.15,pm60,13
23,SB,151,3.00,pm60,576
24,NB,168,2.45,pm60,20
25,EB,168,4.00,pm60,477
26,WB,168,3.00,pm60,505
27,SB,168,4.00,pm60,44
28,NB,271,3.00,pm60,0
29,EB,271,3.00,pm60,0
30,WB,271,3.00,pm60,0
31,SB,271,3.00,pm60,0
32,NB,282,3.45,pm60,96
33,EB,282,4.30,pm60,253
34,WB,282,3.00,pm60,222
35,SB,282,4.15,pm60,136
36,NB,321,5.00,pm60,1407
37,EB,321,4.45,pm60,1404
38,WB,321,5.00,pm60,1305
39,SB,321,5.00,pm60,1321
40,NB,323,4.30,pm60,250
41,EB,323,3.00,pm60,735
42,WB,323,3.00,pm60,0
43,SB,323,4.45,pm60,1287
44,NB,335,5.00,pm60,919
45,EB,335,4.15,pm60,636
46,WB,335,4.30,pm60,277
47,SB,335,3.00,pm60,1
48,NB,362,4.00,pm60,35
49,EB,362,4.00,pm60,1073
50,WB,362,4.00,pm60,728
51,SB,362,3.15,pm60,63
52,NB,503,5.00,pm60,795
53,EB,503,4.30,pm60,1785
54,WB,503,5.00,pm60,1152
55,SB,503,4.30,pm60,1574
56,NB,650,3.00,pm60,26
57,EB,650,4.30,pm60,973
58,WB,650,4.30,pm60,1205
59,SB,650,3.30,pm60,40
60,NB,685,5.00,pm60,829
61,EB,685,5.00,pm60,1925
62,WB,685,5.00,pm60,1200
63,SB,685,5.00,pm60,794
64,NB,18169,5.00,pm60,541
65,EB,18169,5.00,pm60,1197
66,WB,18169,5.00,pm60,732
67,SB,18169,5.00,pm60,519
68,NB,18241,4.00,pm60,84
69,EB,18241,2.15,pm60,33
70,WB,18241,4.00,pm60,21
71,SB,18241,3.45,pm60,120
72,NB,18273,5.00,pm60,1448
73,EB,18273,3.00,pm60,60
74,WB,18273,3.00,pm60,0
75,SB,18273,5.00,pm60,949
76,NB,18289,4.45,pm60,45
77,EB,18289,5.00,pm60,87
78,WB,18289,3.00,pm60,0
79,SB,18289,4.15,pm60,133
80,NB,18321,5.00,pm60,1457
81,EB,18321,3.00,pm60,0
82,WB,18321,3.00,pm60,316
83,SB,18321,3.15,pm60,1390
84,NB,18336,4.15,pm60,11
85,EB,18336,4.45,pm60,35
86,WB,18336,5.00,pm60,36
87,SB,18336,4.15,pm60,33
