"TrafficID","IntersectionID","ext","lat","lon","intersection","Shape"
1,3667,1,33.78,-118.26,"ISLAND AVE at L ST",
2,3680,1,33.78,-118.28,"FIGUEROA ST at L ST",
3,3727,1,33.77,-118.26,"FRIES AVE at HARRY BRIDGES BLVD",
4,3787,1,33.78,-118.22,"ANAHEIM ST AT FARRAGUT AVE",
5,3839,1,33.79,-118.27,"DON ST at FRIGATE AVE",
6,3975,1,33.89,-118.28,"REDONDO BEACH BLVD AT ORCHARD AVE",
7,3976,1,33.89,-118.28,"ORCHARD AVE AT REDONDO BEACH BLVD",
8,3995,1,33.88,-118.28,"GARDENA BLVD at MENLO AVE",
9,4007,1,33.88,-118.28,"ESTRELLA AVE at GARDENA BLVD",
10,4009,1,33.87,-118.28,"168TH ST at HOOVER ST",
11,4069,1,33.93,-118.26,"IMPERIAL HWY at STANFORD AVE",
12,4089,1,33.93,-118.25,"114TH ST at IMPERIAL HWY",
13,4091,1,33.93,-118.28,"FIGUEROA ST at IMPERIAL HWY",
14,4202,1,33.96,-118.28,"82ND ST at HOOVER ST",
15,4203,1,33.96,-118.28,"83RD ST at HOOVER ST",
16,4265,1,33.96,-118.28,"84TH ST at FIGUEROA ST",
17,4279,1,33.95,-118.28,"95TH ST at HOOVER ST",
18,4286,1,33.94,-118.28,"CENTURY BLVD at HOOVER ST",
19,4335,1,33.93,-118.23,"114TH ST at GRAPE ST",
20,4347,1,33.92,-118.23,"IMPERIAL HWY at MONA BLVD",
21,4366,1,34.02,-118.34,"30TH ST at VINEYARD AVE",
22,4371,1,34.02,-118.34,"FIELD AVE at VINEYARD AVE",
23,4376,1,34.02,-118.34,"30TH ST at FARMDALE AVE",
24,4394,1,34.02,-118.35,"LA BREA AVE at ROSELAND ST",
25,4401,1,34.02,-118.37,"JEFFERSON BLVD at LA CIENEGA BLVD",
26,4410,1,34.02,-118.34,"FARMDALE AVE at JEFFERSON BLVD",
27,4417,1,34.02,-118.35,"JEFFERSON BLVD at SYCAMORE AVE",
28,4419,1,34.02,-118.35,"JEFFERSON BLVD at REDONDO BLVD",
29,4432,1,34.02,-118.35,"EXPOSITION BOULEVARD S/R at LA BREA AVE",
30,4436,1,34.02,-118.34,"EXPOSITION BOULEVARD N/R at FARMDALE AVE",
31,4483,1,34.01,-118.36,"COLISEUM ST at HAUSER BLVD",
32,4539,1,34.01,-118.34,"HILLCREST DR at PINAFORE ST",
33,4544,1,34.01,-118.34,"HILLCREST DR at SANTO TOMAS DR",
34,4633,1,34.02,-118.35,"JEFFERSON BLVD at LA BREA AVE",
35,4651,1,34.02,-118.30,"JEFFERSON BLVD AT WESTERN AVE",
36,4689,1,34.02,-118.32,"11TH AVE at JEFFERSON BLVD",
37,4690,1,34.02,-118.32,"11TH AVE at 36TH ST",
