count_id,cl_node_id,location,traffic_id,type,file
1,3667,ISLAND AVE at L ST,1,manual,3667_ISLLST94.PDF
2,3680,FIGUEROA ST at L ST,2,manual,3680_FIGLST94.PDF
3,3727,FRIES AVE at HARRY BRIDGES BLVD,3,manual,3727_FRIHAR95.PDF
4,3787,ANAHEIM ST AT FARRAGUT AVE,4,manual,3787_ANAFAR100817.PDF
5,3787,ANAHEIM ST AT FARRAGUT AVE,4,manual,FARRAGUT.ANAHEIM.110119-MAN.PDF
6,3787,ANAHEIM ST AT FARRAGUT AVE,4,automatic,FARANA090506.PDF
7,3787,ANAHEIM ST AT FARRAGUT AVE,4,automatic,ANAHEIM.FARRAGUT.121212-AUTO.PDF
8,3787,ANAHEIM ST AT FARRAGUT AVE,4,automatic,ANAFAR090506.PDF
9,3787,ANAHEIM ST AT FARRAGUT AVE,4,automatic,ANAHEIM.FARRAGUT.120712-AUTO.PDF
10,3839,DON ST at FRIGATE AVE,5,manual,3839_DONFRI93.PDF
11,3975,REDONDO BEACH BLVD AT ORCHARD AVE,6,manual,3975_ORCRED060627.PDF
12,3976,ORCHARD AVE AT REDONDO BEACH BLVD,7,manual,3976_ORCRED060627.PDF
13,3976,ORCHARD AVE AT REDONDO BEACH BLVD,7,manual,3976_ORCRED99.PDF
14,3976,ORCHARD AVE AT REDONDO BEACH BLVD,7,manual,REDONDOBEACH.ORCHARD.150616-NDSMAN.PDF
15,3976,ORCHARD AVE AT REDONDO BEACH BLVD,7,automatic,ORCHARD.REDONDO.140619-AUTO.PDF
16,3976,ORCHARD AVE AT REDONDO BEACH BLVD,7,automatic,REDONDO.ORCHARD.140619-AUTO.PDF
17,3995,GARDENA BLVD at MENLO AVE,8,manual,3995_GARMEN04.PDF
18,3995,GARDENA BLVD at MENLO AVE,8,manual,3995_GARMEN98.PDF
19,3995,GARDENA BLVD at MENLO AVE,8,manual,GARDENA.MENLO.171019-MAN.PDF
20,3995,GARDENA BLVD at MENLO AVE,8,automatic,MENGAR06.PDF
21,3995,GARDENA BLVD at MENLO AVE,8,automatic,MENGAR04.PDF
22,3995,GARDENA BLVD at MENLO AVE,8,automatic,GARMEN06.PDF
23,4007,ESTRELLA AVE at GARDENA BLVD,9,manual,4007_ESTGAR95.PDF
24,4007,ESTRELLA AVE at GARDENA BLVD,9,manual,ESTGAR06.PDF
25,4009,168TH ST at HOOVER ST,10,manual,4009_HOO16893.PDF
26,4009,168TH ST at HOOVER ST,10,manual,4009_HOO16894.PDF
27,4009,168TH ST at HOOVER ST,10,automatic,168TH.HOOVER.070423-AUTO.PDF
28,4009,168TH ST at HOOVER ST,10,automatic,168HOO03.PDF
29,4069,IMPERIAL HWY at STANFORD AVE,11,manual,4069_IMPSTA04.PDF
30,4069,IMPERIAL HWY at STANFORD AVE,11,automatic,IMPERIALHWY.STANFORD.130912-AUTO.PDF
31,4069,IMPERIAL HWY at STANFORD AVE,11,automatic,STAIMP04.PDF
32,4089,114TH ST at IMPERIAL HWY,12,manual,4089_IMPWAD04.PDF
33,4089,114TH ST at IMPERIAL HWY,12,manual,WADSWORTH.114TH ST_IMPERIAL HWY.171025-NDSMAN.PDF
34,4089,114TH ST at IMPERIAL HWY,12,automatic,WADIMP03.PDF
35,4089,114TH ST at IMPERIAL HWY,12,automatic,IMPERIALHWY.WADSWORTH.130912-AUTO.PDF
36,4089,114TH ST at IMPERIAL HWY,12,automatic,IMPERIAL.WADSWORTH.150504-AUTO.PDF
37,4091,FIGUEROA ST at IMPERIAL HWY,13,manual,4091_FIGIMP95.PDF
38,4091,FIGUEROA ST at IMPERIAL HWY,13,manual,4091_FIGIMP98.PDF
39,4091,FIGUEROA ST at IMPERIAL HWY,13,automatic,IMPERIAL.FIGUEROA.150428-AUTO.PDF
40,4091,FIGUEROA ST at IMPERIAL HWY,13,automatic,IMPFIG080514.PDF
41,4091,FIGUEROA ST at IMPERIAL HWY,13,automatic,FIGIMP080514.PDF
42,4202,82ND ST at HOOVER ST,14,manual,4202_HOO82N93.PDF
43,4203,83RD ST at HOOVER ST,15,manual,4203_HOO83R93.PDF
44,4265,84TH ST at FIGUEROA ST,16,manual,4265_FIG84S94.PDF
45,4265,84TH ST at FIGUEROA ST,16,automatic,84TH.FIGUEROA.140414.W-AUTO.PDF
46,4265,84TH ST at FIGUEROA ST,16,automatic,FIGUEROA.84TH.140414-AUTO.PDF
47,4279,95TH ST at HOOVER ST,17,manual,4279_­­HOO95S.PDF
48,4286,CENTURY BLVD at HOOVER ST,18,manual,CENHOO080506.PDF
49,4286,CENTURY BLVD at HOOVER ST,18,automatic,CENTURY BL. @ HOOVER ST. 1.PDF
50,4286,CENTURY BLVD at HOOVER ST,18,automatic,CENTURY BL. @ HOOVER ST. 2.PDF
51,4286,CENTURY BLVD at HOOVER ST,18,automatic,CENHOO090501.PDF
52,4335,114TH ST at GRAPE ST,19,manual,4335_GRA11493.PDF
53,4347,IMPERIAL HWY at MONA BLVD,20,manual,4347_IMPMON97.PDF
54,4366,30TH ST at VINEYARD AVE,21,manual,4366_FERVIN96.PDF
55,4366,30TH ST at VINEYARD AVE,21,manual,4366_FERVIN97.PDF
56,4366,30TH ST at VINEYARD AVE,21,manual,4366_FERVIN99.PDF
57,4371,FIELD AVE at VINEYARD AVE,22,manual,4371_FERVIN01.PDF
58,4371,FIELD AVE at VINEYARD AVE,22,automatic,FIELD.VINEYARD.SWB.171205-NUM.AUTO.PDF
59,4371,FIELD AVE at VINEYARD AVE,22,automatic,FIELD.VINEYARD.NEB.171205-NUM.AUTO.PDF
60,4371,FIELD AVE at VINEYARD AVE,22,automatic,FIELD.VINEYARD.NB.171205-NUM.AUTO.PDF
61,4376,30TH ST at FARMDALE AVE,23,manual,4376_FAR30S98.PDF
62,4376,30TH ST at FARMDALE AVE,23,manual,4376_FARFER97.PDF
63,4394,LA BREA AVE at ROSELAND ST,24,manual,4394_LABROS93.PDF
64,4394,LA BREA AVE at ROSELAND ST,24,manual,4394_LABROS94.PDF
65,4394,LA BREA AVE at ROSELAND ST,24,manual,4394_LABROS96.PDF
66,4394,LA BREA AVE at ROSELAND ST,24,manual,4394_LABROS97.PDF
67,4394,LA BREA AVE at ROSELAND ST,24,manual,4394_LABROS98.PDF
68,4394,LA BREA AVE at ROSELAND ST,24,manual,LABREA.ROSELAND.170228-NDSMAN.PDF
69,4394,LA BREA AVE at ROSELAND ST,24,automatic,ROSELAND.LABREA.161031-AUTO.PDF
70,4394,LA BREA AVE at ROSELAND ST,24,automatic,LABREA.ROSELAND.161031-AUTO.PDF
71,4394,LA BREA AVE at ROSELAND ST,24,automatic,LABREA.ROSELAND.170504-NDSAUTO.PDF
